lemma,PoS,freq(ipm)
неотложный,a,5.9
неприкосновенность,s,5.9
неразумный,a,5.9
неуверенность,s,5.9
нибудь,part,5.9
носик,s,5.9
образный,a,5.9
обрасти,v,5.9
обусловливать,v,5.9
обустройство,s,5.9
оглушительный,a,5.9
одевать,v,5.9
олицетворять,v,5.9
осадки,s,5.9
отмахиваться,v,5.9
отскочить,v,5.9
пелена,s,5.9
переместиться,v,5.9
перерасти,v,5.9
переселение,s,5.9
поди,adv,5.9
подставка,s,5.9
поклоняться,v,5.9
покрасить,v,5.9
полочка,s,5.9
помирать,v,5.9
порча,s,5.9
потертый,a,5.9
похоронный,a,5.9
привилегированный,a,5.9
пригород,s,5.9
приковать,v,5.9
прилетать,v,5.9
примечательно,adv,5.9
пришить,v,5.9
пронзить,v,5.9
путаница,s,5.9
работница,s,5.9
разворот,s,5.9
раса,s,5.9
рыдание,s,5.9
свинина,s,5.9
сенсационный,a,5.9
скрипучий,a,5.9
снабжать,v,5.9
стечение,s,5.9
субстанция,s,5.9
тракторист,s,5.9
уезд,s,5.9
улучшиться,v,5.9
управа,s,5.9
уставить,v,5.9
устояться,v,5.9
формальность,s,5.9
хвостик,s,5.9
хорек,s,5.9
цениться,v,5.9
цинизм,s,5.9
цистерна,s,5.9
шелестеть,v,5.9
шестеро,num,5.9
штрих,s,5.9
эгоизм,s,5.9
яркость,s,5.9
абориген,s,5.8
азартный,a,5.8
алкоголизм,s,5.8
алфавит,s,5.8
арестант,s,5.8
арестованный,s,5.8
атаман,s,5.8
атлас,s,5.8
баловать,v,5.8
бутик,s,5.8
вакансия,s,5.8
вглядеться,v,5.8
виток,s,5.8
воздержаться,v,5.8
волочить,v,5.8
волочь,v,5.8
воплощать,v,5.8
воровской,a,5.8
воспроизведение,s,5.8
восстанавливаться,v,5.8
впечатляющий,a,5.8
вылиться,v,5.8
вымереть,v,5.8
градостроительный,a,5.8
деградация,s,5.8
детище,s,5.8
диагностический,a,5.8
диспетчер,s,5.8
добродушно,adv,5.8
договорной,a,5.8
долететь,v,5.8
дурь,s,5.8
жизнерадостный,a,5.8
завещать,v,5.8
завыть,v,5.8
запнуться,v,5.8
застава,s,5.8
знаковый,a,5.8
идентифицировать,v,5.8
изобретать,v,5.8
иссякнуть,v,5.8
исчерпывающий,a,5.8
канализация,s,5.8
кобыла,s,5.8
коллективизация,s,5.8
конфискация,s,5.8
корректный,a,5.8
курортный,a,5.8
лавра,s,5.8
ледовый,a,5.8
литовский,a,5.8
литровый,a,5.8
лучше,adv,5.8
мыльный,a,5.8
мятеж,s,5.8
набираться,v,5.8
наполниться,v,5.8
напрячь,v,5.8
насыпать,v,5.8
невзирая,adv,5.8
оборонительный,a,5.8
обронить,v,5.8
общенациональный,a,5.8
озадачить,v,5.8
оный,apro,5.8
отлететь,v,5.8
отозвать,v,5.8
охапка,s,5.8
парламентарий,s,5.8
пароль,s,5.8
передняя,s,5.8
перекинуть,v,5.8
переписывать,v,5.8
переправа,s,5.8
периметр,s,5.8
писательница,s,5.8
питомник,s,5.8
повеситься,v,5.8
подбрасывать,v,5.8
подле,pr,5.8
подчеркиваться,v,5.8
полковой,a,5.8
походный,a,5.8
премудрость,s,5.8
пренебрежение,s,5.8
примириться,v,5.8
присмотр,s,5.8
простираться,v,5.8
проходная,s,5.8
пятнадцатый,anum,5.8
разумно,adv,5.8
растопырить,v,5.8
рекордный,a,5.8
ругань,s,5.8
священнослужитель,s,5.8
сигнализация,s,5.8
сквозняк,s,5.8
сковорода,s,5.8
слабеть,v,5.8
слетать,v,5.8
смешок,s,5.8
смять,v,5.8
согражданин,s,5.8
сопутствовать,v,5.8
сорока,s,5.8
соскочить,v,5.8
сосок,s,5.8
стукач,s,5.8
сцепление,s,5.8
так,part,5.8
трата,s,5.8
ужаснуться,v,5.8
узенький,a,5.8
ушко,s,5.8
фазовый,a,5.8
фанера,s,5.8
фиксироваться,v,5.8
флейта,s,5.8
хмуриться,v,5.8
хозяйствовать,v,5.8
цепкий,a,5.8
чрезмерно,adv,5.8
шершавый,a,5.8
шлепать,v,5.8
шлюпка,s,5.8
явка,s,5.8
ямка,s,5.8
архипелаг,s,5.7
астрономический,a,5.7
бессознательный,a,5.7
благословенный,a,5.7
борозда,s,5.7
булат,s,5.7
буржуазия,s,5.7
бурлить,v,5.7
впору,adv,5.7
врасплох,adv,5.7
вслед,pr,5.7
всплеснуть,v,5.7
вымысел,s,5.7
высотный,a,5.7
вязкий,a,5.7
генсек,s,5.7
гонение,s,5.7
грести,v,5.7
грузный,a,5.7
гулко,adv,5.7
джазовый,a,5.7
дождик,s,5.7
дозвониться,v,5.7
доселе,advpro,5.7
доступность,s,5.7
дьявольский,a,5.7
едкий,a,5.7
еловый,a,5.7
желтоватый,a,5.7
жертвовать,v,5.7
заграница,s,5.7
зампред,s,5.7
запорожец,s,5.7
зародыш,s,5.7
заслонить,v,5.7
заурядный,a,5.7
издавна,adv,5.7
иммунизация,s,5.7
инициативный,a,5.7
испытательный,a,5.7
кладка,s,5.7
колючка,s,5.7
корочка,s,5.7
куб,s,5.7
кушетка,s,5.7
летательный,a,5.7
лживый,a,5.7
либерализация,s,5.7
маленько,adv,5.7
материально-технический,a,5.7
мерить,v,5.7
метафизический,a,5.7
метровый,a,5.7
молитвенный,a,5.7
монгол,s,5.7
мягкость,s,5.7
навязчивый,a,5.7
наименьший,a,5.7
накопительный,a,5.7
нанимать,v,5.7
наперед,adv,5.7
наполняться,v,5.7
настраивать,v,5.7
негромкий,a,5.7
непредвиденный,a,5.7
неудовольствие,s,5.7
нотка,s,5.7
обозвать,v,5.7
огорчать,v,5.7
ограждение,s,5.7
одолжить,v,5.7
окаменеть,v,5.7
опешить,v,5.7
опознать,v,5.7
опубликование,s,5.7
осознанный,a,5.7
остывать,v,5.7
отблеск,s,5.7
отдышаться,v,5.7
отчаяться,v,5.7
офисный,a,5.7
первоочередной,a,5.7
переворачивать,v,5.7
перелет,s,5.7
переполненный,a,5.7
побелеть,v,5.7
побудить,v,5.7
подопечный,s,5.7
подрастать,v,5.7
подростковый,a,5.7
подсобный,a,5.7
покрутить,v,5.7
политехнический,a,5.7
полить,v,5.7
по-хорошему,adv,5.7
поэтесса,s,5.7
приверженец,s,5.7
припасть,v,5.7
прислуга,s,5.7
провозглашать,v,5.7
программирование,s,5.7
продолговатый,a,5.7
проработка,s,5.7
простодушный,a,5.7
простуда,s,5.7
противопоставление,s,5.7
прямоугольник,s,5.7
публицист,s,5.7
пыхтеть,v,5.7
разгораться,v,5.7
разделиться,v,5.7
разносить,v,5.7
растить,v,5.7
растянуть,v,5.7
расшириться,v,5.7
самосвал,s,5.7
серьга,s,5.7
скептически,adv,5.7
скрипнуть,v,5.7
словосочетание,s,5.7
совершенствовать,v,5.7
согреться,v,5.7
созыв,s,5.7
ставропольский,a,5.7
стихотворный,a,5.7
страшиться,v,5.7
таможенник,s,5.7
телекомпания,s,5.7
толкаться,v,5.7
трюм,s,5.7
укоризненно,adv,5.7
униматься,v,5.7
уныние,s,5.7
усердие,s,5.7
устой,s,5.7
усыновление,s,5.7
февральский,a,5.7
фрау,s,5.7
хан,s,5.7
хватка,s,5.7
хижина,s,5.7
хит,s,5.7
хм,intj,5.7
цыганка,s,5.7
чесать,v,5.7
членство,s,5.7
шеренга,s,5.7
экскаватор,s,5.7
эпопея,s,5.7
абстракция,s,5.6
августовский,a,5.6
австралийский,a,5.6
акустический,a,5.6
археолог,s,5.6
бдительный,a,5.6
бензиновый,a,5.6
беспощадно,adv,5.6
бешено,adv,5.6
блатной,a,5.6
блуждать,v,5.6
богатейший,a,5.6
булыжник,s,5.6
бурение,s,5.6
бутыль,s,5.6
ввалиться,v,5.6
вдуматься,v,5.6
вентилятор,s,5.6
взамен,pr,5.6
взвыть,v,5.6
вконец,adv,5.6
возлюбить,v,5.6
вообще-то,adv,5.6
воротничок,s,5.6
ворох,s,5.6
воцариться,v,5.6
всецело,adv,5.6
вставка,s,5.6
выжать,v,5.6
выразительно,adv,5.6
вычет,s,5.6
выявляться,v,5.6
геофизический,a,5.6
глас,s,5.6
гнуть,v,5.6
горбатый,a,5.6
гостеприимство,s,5.6
диктор,s,5.6
дистальный,a,5.6
дозор,s,5.6
доминирующий,a,5.6
доработка,s,5.6
ежемесячно,adv,5.6
еле-еле,adv,5.6
законченный,a,5.6
закуривать,v,5.6
замерзать,v,5.6
заявиться,v,5.6
изготавливать,v,5.6
ипподром,s,5.6
исключаться,v,5.6
ка,part,5.6
карабкаться,v,5.6
картон,s,5.6
княжеский,a,5.6
кооперативный,a,5.6
коррекция,s,5.6
кратковременный,a,5.6
крестьянство,s,5.6
легонько,adv,5.6
лидерство,s,5.6
ликование,s,5.6
лимонный,a,5.6
луковица,s,5.6
метать,v,5.6
мозаика,s,5.6
муравейник,s,5.6
мякиш,s,5.6
нападающий,s,5.6
напрягаться,v,5.6
настежь,adv,5.6
невыгодный,a,5.6
незримый,a,5.6
неладный,a,5.6
неточность,s,5.6
обвинительный,a,5.6
облачко,s,5.6
обменять,v,5.6
обосноваться,v,5.6
обстоятельно,adv,5.6
обтянуть,v,5.6
оглядка,s,5.6
ознакомление,s,5.6
омский,a,5.6
ослабнуть,v,5.6
остаточный,a,5.6
осыпаться,v,5.6
отворить,v,5.6
отыскивать,v,5.6
оцепенение,s,5.6
очарование,s,5.6
паразит,s,5.6
паспортный,a,5.6
пастись,v,5.6
перекладывать,v,5.6
перешагнуть,v,5.6
пиар,s,5.6
пишущий,a,5.6
повозка,s,5.6
подымать,v,5.6
пожелтеть,v,5.6
полнейший,a,5.6
поперек,adv,5.6
порезать,v,5.6
посадочный,a,5.6
посильный,a,5.6
послушаться,v,5.6
потрудиться,v,5.6
преемственность,s,5.6
прибегнуть,v,5.6
принуждение,s,5.6
приспособиться,v,5.6
присутствующий,s,5.6
прихоть,s,5.6
причинение,s,5.6
продлиться,v,5.6
проплывать,v,5.6
прямая,s,5.6
разгореться,v,5.6
разрушаться,v,5.6
раскаяние,s,5.6
раскинуться,v,5.6
распределяться,v,5.6
расставлять,v,5.6
расстановка,s,5.6
рыжик,s,5.6
сковать,v,5.6
смешивать,v,5.6
собеседование,s,5.6
соблюдаться,v,5.6
сопоставить,v,5.6
срабатывать,v,5.6
стайка,s,5.6
суспензия,s,5.6
суточный,a,5.6
трусики,s,5.6
трусливый,a,5.6
убор,s,5.6
угощение,s,5.6
умываться,v,5.6
умысел,s,5.6
фишка,s,5.6
фотографировать,v,5.6
художница,s,5.6
циркулировать,v,5.6
швейцар,s,5.6
шейка,s,5.6
шпага,s,5.6
эдак,advpro,5.6
экспортер,s,5.6
эпитет,s,5.6
авантюра,s,5.5
аксессуар,s,5.5
апартаменты,s,5.5
арбитраж,s,5.5
архимандрит,s,5.5
барахло,s,5.5
баритон,s,5.5
бескорыстный,a,5.5
бесстрашный,a,5.5
более-менее,adv,5.5
бриться,v,5.5
венский,a,5.5
взаимно,adv,5.5
взятие,s,5.5
водоснабжение,s,5.5
воздушно-космический,a,5.5
враз,adv,5.5
вспотеть,v,5.5
выздороветь,v,5.5
вырывать,v,5.5
выситься,v,5.5
высококачественный,a,5.5
галлюцинация,s,5.5
галочка,s,5.5
гипс,s,5.5
глобус,s,5.5
гранит,s,5.5
дефолт,s,5.5
домработница,s,5.5
драть,v,5.5
заболеваемость,s,5.5
заварить,v,5.5
заезжать,v,5.5
закрутить,v,5.5
замешательство,s,5.5
замешать,v,5.5
замужество,s,5.5
замяться,v,5.5
запутанный,a,5.5
зарыть,v,5.5
застучать,v,5.5
зеркальце,s,5.5
зигзаг,s,5.5
избирать,v,5.5
извечный,a,5.5
извилистый,a,5.5
институциональный,a,5.5
ипотека,s,5.5
каменистый,a,5.5
канонический,a,5.5
карий,a,5.5
карточный,a,5.5
карусель,s,5.5
карьерный,a,5.5
катаклизм,s,5.5
квартет,s,5.5
клеточка,s,5.5
клубный,a,5.5
кое,part,5.5
кошмарный,a,5.5
кратчайший,a,5.5
кудри,s,5.5
культовый,a,5.5
лазить,v,5.5
лимузин,s,5.5
лобовой,a,5.5
лоно,s,5.5
лопух,s,5.5
люд,s,5.5
мазь,s,5.5
макияж,s,5.5
матерый,a,5.5
модерн,s,5.5
монгольский,a,5.5
морщинка,s,5.5
награждение,s,5.5
наемник,s,5.5
нажить,v,5.5
наугад,adv,5.5
наяву,adv,5.5
ненароком,adv,5.5
неумолимый,a,5.5
нефтегазовый,a,5.5
ничей,apro,5.5
обалдеть,v,5.5
обеспокоить,v,5.5
обмундирование,s,5.5
обозначиться,v,5.5
общеизвестный,a,5.5
общественно-политический,a,5.5
объяснимый,a,5.5
обыкновенно,adv,5.5
огорчаться,v,5.5
оградить,v,5.5
окрестить,v,5.5
олигархический,a,5.5
оренбургский,a,5.5
отделать,v,5.5
отслеживать,v,5.5
отчим,s,5.5
отъехать,v,5.5
партком,s,5.5
передохнуть,v,5.5
перекусить,v,5.5
пластика,s,5.5
поболтать,v,5.5
подвижник,s,5.5
подкрепить,v,5.5
подлинность,s,5.5
покаяться,v,5.5
покойный,s,5.5
попятиться,v,5.5
постукивать,v,5.5
прадед,s,5.5
преобладание,s,5.5
преобразовать,v,5.5
приграничный,a,5.5
призывник,s,5.5
прилечь,v,5.5
приостановление,s,5.5
программист,s,5.5
прокурорский,a,5.5
пролет,s,5.5
промахнуться,v,5.5
прослушать,v,5.5
пятиться,v,5.5
радикально,adv,5.5
развлекать,v,5.5
разность,s,5.5
разок,s,5.5
расправиться,v,5.5
роды,s,5.5
рудный,a,5.5
рысь,s,5.5
рыцарский,a,5.5
симпозиум,s,5.5
синагога,s,5.5
сквозной,a,5.5
скорейший,a,5.5
славно,adv,5.5
слива,s,5.5
смертный,s,5.5
совершиться,v,5.5
сожрать,v,5.5
сорочка,s,5.5
стильный,a,5.5
торопливый,a,5.5
тратиться,v,5.5
трофей,s,5.5
угодье,s,5.5
уголек,s,5.5
угрожающе,adv,5.5
фанатик,s,5.5
фейерверк,s,5.5
часовня,s,5.5
че,advpro,5.5
чистенький,a,5.5
шорты,s,5.5
штатское,s,5.5
штурмовик,s,5.5
щепка,s,5.5
щетина,s,5.5
экосистема,s,5.5
эпиграф,s,5.5
яичко,s,5.5
автотранспорт,s,5.4
агроном,s,5.4
аппаратный,a,5.4
арбитр,s,5.4
бархат,s,5.4
бестолковый,a,5.4
блик,s,5.4
болван,s,5.4
бродячий,a,5.4
бывалый,a,5.4
взвиться,v,5.4
вмиг,adv,5.4
водородный,a,5.4
водохранилище,s,5.4
возбудитель,s,5.4
восьмидесятый,anum,5.4
всемогущий,a,5.4
выплыть,v,5.4
вытянутый,a,5.4
выходка,s,5.4
горница,s,5.4
грамматика,s,5.4
девать,v,5.4
дерзость,s,5.4
добежать,v,5.4
досрочный,a,5.4
дотянуть,v,5.4
дошкольник,s,5.4
завязаться,v,5.4
загадочно,adv,5.4
закопать,v,5.4
заливаться,v,5.4
заостренный,a,5.4
заправка,s,5.4
заторопиться,v,5.4
зачислить,v,5.4
знамение,s,5.4
знающий,a,5.4
зреть,v,5.4
идентичный,a,5.4
избавление,s,5.4
измученный,a,5.4
интернат,s,5.4
истолковать,v,5.4
каскад,s,5.4
катюша,s,5.4
кинорежиссер,s,5.4
когнитивный,a,5.4
кореец,s,5.4
корзинка,s,5.4
криво,adv,5.4
кубометр,s,5.4
купание,s,5.4
курточка,s,5.4
лексика,s,5.4
лишаться,v,5.4
ловля,s,5.4
мадонна,s,5.4
милостивый,a,5.4
миномет,s,5.4
минуточка,s,5.4
мирской,a,5.4
монашеский,a,5.4
мытье,s,5.4
наем,s,5.4
насладиться,v,5.4
научно,adv,5.4
националист,s,5.4
неведомо,adv,5.4
невеселый,a,5.4
негативно,adv,5.4
неминуемый,a,5.4
необоснованный,a,5.4
неподдельный,a,5.4
непоседа,s,5.4
нестерпимо,adv,5.4
ник,s,5.4
обобщать,v,5.4
общеобразовательный,a,5.4
объясниться,v,5.4
окинуть,v,5.4
окошечко,s,5.4
определенность,s,5.4
основательный,a,5.4
отвыкнуть,v,5.4
отдыхающий,s,5.4
отличиться,v,5.4
перемешать,v,5.4
переселенец,s,5.4
пеший,a,5.4
повествовать,v,5.4
подсказка,s,5.4
поклонение,s,5.4
покрышка,s,5.4
полено,s,5.4
полог,s,5.4
полянка,s,5.4
помин,s,5.4
посеять,v,5.4
потрясающий,a,5.4
почернеть,v,5.4
предполагаемый,a,5.4
прерваться,v,5.4
прибыльный,a,5.4
пригородный,a,5.4
проделывать,v,5.4
продолжиться,v,5.4
протиснуться,v,5.4
прошипеть,v,5.4
пудра,s,5.4
пулеметный,a,5.4
раздевалка,s,5.4
разлететься,v,5.4
распрощаться,v,5.4
рассесться,v,5.4
расхаживать,v,5.4
реанимация,s,5.4
резьба,s,5.4
ресторанчик,s,5.4
речевой,a,5.4
родимый,a,5.4
садовник,s,5.4
свернуться,v,5.4
сгорать,v,5.4
синтезировать,v,5.4
скрепить,v,5.4
смешение,s,5.4
смута,s,5.4
снисходительный,a,5.4
собственноручно,adv,5.4
соперничество,s,5.4
соприкасаться,v,5.4
спелый,a,5.4
справочный,a,5.4
сторонний,a,5.4
таинственно,adv,5.4
телеграф,s,5.4
теребить,v,5.4
торговаться,v,5.4
ударение,s,5.4
удрать,v,5.4
умерший,a,5.4
упасти,v,5.4
упрямство,s,5.4
уходящий,a,5.4
ухоженный,a,5.4
фея,s,5.4
фреска,s,5.4
фу,intj,5.4
ха-ха,intj,5.4
царапина,s,5.4
черновик,s,5.4
чуточку,adv,5.4
шаблон,s,5.4
шо,spro,5.4
эмигрантский,a,5.4
акциз,s,5.3
алтайский,a,5.3
антикварный,a,5.3
антракт,s,5.3
архиерей,s,5.3
афоризм,s,5.3
батон,s,5.3
блюдце,s,5.3
боксер,s,5.3
вблизи,adv,5.3
вдаваться,v,5.3
вдалеке,adv,5.3
вертикально,adv,5.3
весть,v,5.3
веха,s,5.3
ворон,s,5.3
восхититься,v,5.3
восходящий,a,5.3
вошь,s,5.3
врата,s,5.3
всего-навсего,adv,5.3
вскрывать,v,5.3
выползти,v,5.3
выскользнуть,v,5.3
вычитать,v,5.3
вязкость,s,5.3
габарит,s,5.3
галка,s,5.3
гарантийный,a,5.3
гарь,s,5.3
героизм,s,5.3
гнить,v,5.3
горение,s,5.3
грамматический,a,5.3
грива,s,5.3
дамочка,s,5.3
декабрьский,a,5.3
денек,s,5.3
диалектика,s,5.3
дубль,s,5.3
духовой,a,5.3
завидный,a,5.3
зависнуть,v,5.3
залезать,v,5.3
запой,s,5.3
затихать,v,5.3
затратить,v,5.3
зачитать,v,5.3
зверек,s,5.3
известить,v,5.3
излюбленный,a,5.3
изящество,s,5.3
интуитивно,adv,5.3
испортиться,v,5.3
кабан,s,5.3
кальций,s,5.3
камыш,s,5.3
кандидатский,a,5.3
капиталист,s,5.3
карцер,s,5.3
клеенка,s,5.3
кобель,s,5.3
комендатура,s,5.3
компромат,s,5.3
кофейный,a,5.3
кочка,s,5.3
крыть,v,5.3
кубанский,a,5.3
лакей,s,5.3
ломиться,v,5.3
лукаво,adv,5.3
любительский,a,5.3
магазинчик,s,5.3
медовый,a,5.3
мемориальный,a,5.3
механически,adv,5.3
мисс,s,5.3
многократный,a,5.3
мужественно,adv,5.3
набросок,s,5.3
наган,s,5.3
наливаться,v,5.3
наотрез,adv,5.3
наскоро,adv,5.3
настораживать,v,5.3
насторожить,v,5.3
начинка,s,5.3
немка,s,5.3
неразборчивый,a,5.3
нестерпимый,a,5.3
обезуметь,v,5.3
обрываться,v,5.3
объектив,s,5.3
овация,s,5.3
овес,s,5.3
ожесточенный,a,5.3
озарить,v,5.3
окунуться,v,5.3
онеметь,v,5.3
отдаление,s,5.3
отличник,s,5.3
оторопеть,v,5.3
пасхальный,a,5.3
перевалить,v,5.3
переводчица,s,5.3
переговорить,v,5.3
переноситься,v,5.3
переночевать,v,5.3
пересохнуть,v,5.3
пехотный,a,5.3
планшет,s,5.3
плеснуть,v,5.3
плестись,v,5.3
пнуть,v,5.3
повадка,s,5.3
поглаживать,v,5.3
подножка,s,5.3
пожирать,v,5.3
поманить,v,5.3
посвящение,s,5.3
постельный,a,5.3
постный,a,5.3
потеть,v,5.3
поэтика,s,5.3
пояснение,s,5.3
превосходно,adv,5.3
прерываться,v,5.3
приватизировать,v,5.3
привязаться,v,5.3
приметить,v,5.3
принтер,s,5.3
присяжный,a,5.3
приурочить,v,5.3
проверяться,v,5.3
продвинуть,v,5.3
проигрыш,s,5.3
прослеживаться,v,5.3
простудиться,v,5.3
противовес,s,5.3
пузо,s,5.3
пурга,s,5.3
раввин,s,5.3
радикал,s,5.3
радист,s,5.3
раздражить,v,5.3
разрозненный,a,5.3
раскладушка,s,5.3
расколоть,v,5.3
раскрасить,v,5.3
рассчитаться,v,5.3
расшифровать,v,5.3
ревизия,s,5.3
редколлегия,s,5.3
реконструировать,v,5.3
розетка,s,5.3
самоопределение,s,5.3
скомкать,v,5.3
соблюсти,v,5.3
соваться,v,5.3
спекуляция,s,5.3
спутниковый,a,5.3
сторожить,v,5.3
судейский,a,5.3
трофейный,a,5.3
тряпочка,s,5.3
углубиться,v,5.3
узы,s,5.3
уйма,s,5.3
употребляться,v,5.3
усердно,adv,5.3
усовершенствование,s,5.3
утрачивать,v,5.3
ухмыляться,v,5.3
флора,s,5.3
фольклорный,a,5.3
цент,s,5.3
чугун,s,5.3
шалаш,s,5.3
шаман,s,5.3
шатер,s,5.3
шестнадцатый,anum,5.3
ширма,s,5.3
шкатулка,s,5.3
шкафчик,s,5.3
шпана,s,5.3
шуточка,s,5.3
щука,s,5.3
экзотика,s,5.3
экспериментатор,s,5.3
экстремизм,s,5.3
адекватно,adv,5.2
альфа,s,5.2
ассамблея,s,5.2
аттестат,s,5.2
бант,s,5.2
безмолвный,a,5.2
беспредел,s,5.2
боцман,s,5.2
бункер,s,5.2
варшавский,a,5.2
вбить,v,5.2
вещание,s,5.2
вздор,s,5.2
визитный,a,5.2
властитель,s,5.2
влюбленность,s,5.2
воздвигнуть,v,5.2
возмущенно,adv,5.2
восемьсот,num,5.2
воск,s,5.2
воспитанный,a,5.2
восхитительный,a,5.2
врачебный,a,5.2
вредить,v,5.2
всеобъемлющий,a,5.2
выборочный,a,5.2
выездной,a,5.2
выискивать,v,5.2
вырыть,v,5.2
гайка,s,5.2
гармоничный,a,5.2
гвардейский,a,5.2
героин,s,5.2
гибрид,s,5.2
гильза,s,5.2
глотнуть,v,5.2
горячка,s,5.2
гряда,s,5.2
дипломатия,s,5.2
довезти,v,5.2
довериться,v,5.2
доживать,v,5.2
допуск,s,5.2
живучесть,s,5.2
журавль,s,5.2
забеспокоиться,v,5.2
закреплять,v,5.2
заметаться,v,5.2
заморский,a,5.2
записываться,v,5.2
затевать,v,5.2
затяжной,a,5.2
захлопать,v,5.2
звездолет,s,5.2
ива,s,5.2
инфицировать,v,5.2
инъекция,s,5.2
исцеление,s,5.2
карать,v,5.2
картографический,a,5.2
качнуться,v,5.2
клюнуть,v,5.2
комментатор,s,5.2
комод,s,5.2
конкурентоспособный,a,5.2
кормиться,v,5.2
корявый,a,5.2
красть,v,5.2
кроватка,s,5.2
кряхтеть,v,5.2
кулачок,s,5.2
логично,adv,5.2
лопаться,v,5.2
манифест,s,5.2
метан,s,5.2
мечтательно,adv,5.2
милая,s,5.2
мифология,s,5.2
моль,s,5.2
моргать,v,5.2
мыслящий,a,5.2
наспех,adv,5.2
недостаточность,s,5.2
непоправимый,a,5.2
несовершенный,a,5.2
несостоявшийся,a,5.2
нетронутый,a,5.2
ночлег,s,5.2
ноша,s,5.2
обиженный,a,5.2
облить,v,5.2
ободрать,v,5.2
оправиться,v,5.2
оптимистический,a,5.2
оргкомитет,s,5.2
осина,s,5.2
относительность,s,5.2
отпечатать,v,5.2
отпор,s,5.2
отставание,s,5.2
отставной,a,5.2
ошарашить,v,5.2
пал,s,5.2
панихида,s,5.2
парный,a,5.2
партнерша,s,5.2
пасти,v,5.2
перевозчик,s,5.2
переносица,s,5.2
переселиться,v,5.2
питьевой,a,5.2
подоспеть,v,5.2
позвонок,s,5.2
покатить,v,5.2
полслова,s,5.2
полутьма,s,5.2
полый,a,5.2
помысел,s,5.2
попечение,s,5.2
пополнить,v,5.2
пошевелиться,v,5.2
пощечина,s,5.2
пощупать,v,5.2
предписать,v,5.2
предсмертный,a,5.2
пресвятой,a,5.2
пресный,a,5.2
присоединить,v,5.2
притормозить,v,5.2
притяжение,s,5.2
пронзительно,adv,5.2
просвещенный,a,5.2
просчет,s,5.2
проясниться,v,5.2
пятнышко,s,5.2
размножаться,v,5.2
разорваться,v,5.2
распухнуть,v,5.2
рацион,s,5.2
реалистический,a,5.2
резон,s,5.2
рождаемость,s,5.2
романтизм,s,5.2
сатирический,a,5.2
саудовский,a,5.2
свинка,s,5.2
сдержанность,s,5.2
секретность,s,5.2
семеро,num,5.2
скат,s,5.2
скопиться,v,5.2
скроить,v,5.2
слизистый,a,5.2
смета,s,5.2
соседствовать,v,5.2
сосчитать,v,5.2
социум,s,5.2
старение,s,5.2
стишок,s,5.2
сток,s,5.2
стряхнуть,v,5.2
сценка,s,5.2
счеты,s,5.2
таежный,a,5.2
темно-синий,a,5.2
тенор,s,5.2
тина,s,5.2
топка,s,5.2
трагически,adv,5.2
трезво,adv,5.2
тренажер,s,5.2
тренировать,v,5.2
тускло,adv,5.2
тушить,v,5.2
убежденность,s,5.2
усыпать,v,5.2
фактура,s,5.2
филологический,a,5.2
хам,s,5.2
хилый,a,5.2
холодок,s,5.2
хромосома,s,5.2
шайка,s,5.2
шаль,s,5.2
шестьсот,num,5.2
юридически,adv,5.2
аккумулятор,s,5.1
алмазный,a,5.1
аура,s,5.1
базальный,a,5.1
баллада,s,5.1
баллистический,a,5.1
баррикада,s,5.1
бездельник,s,5.1
бескрайний,a,5.1
блиндаж,s,5.1
болт,s,5.1
братва,s,5.1
вдох,s,5.1
великолепие,s,5.1
взрывать,v,5.1
военно-политический,a,5.1
возлагаться,v,5.1
воссоздать,v,5.1
выздоровление,s,5.1
выключатель,s,5.1
выкопать,v,5.1
вырубка,s,5.1
гастроном,s,5.1
говаривать,v,5.1
говорящий,a,5.1
говядина,s,5.1
гордыня,s,5.1
горестно,adv,5.1
губернаторский,a,5.1
гусар,s,5.1
девчата,s,5.1
диаспора,s,5.1
диванчик,s,5.1
дискриминация,s,5.1
добить,v,5.1
досье,s,5.1
дружинник,s,5.1
дубинка,s,5.1
елочка,s,5.1
жемчуг,s,5.1
жуть,s,5.1
завысить,v,5.1
задирать,v,5.1
замотать,v,5.1
занятный,a,5.1
западноевропейский,a,5.1
запасть,v,5.1
запереться,v,5.1
запрещение,s,5.1
зонт,s,5.1
измерительный,a,5.1
изолированный,a,5.1
иранский,a,5.1
искусно,adv,5.1
истратить,v,5.1
иудейский,a,5.1
ишь,part,5.1
карнавал,s,5.1
качели,s,5.1
керамический,a,5.1
колготки,s,5.1
координировать,v,5.1
коренастый,a,5.1
красноватый,a,5.1
крейсер,s,5.1
критически,adv,5.1
кропотливый,a,5.1
круглосуточно,adv,5.1
курган,s,5.1
курок,s,5.1
лотерея,s,5.1
лояльность,s,5.1
маятник,s,5.1
мимоходом,adv,5.1
мифический,a,5.1
м-м,intj,5.1
многоэтажный,a,5.1
мобильник,s,5.1
мощно,adv,5.1
мыслительный,a,5.1
нагрянуть,v,5.1
надуть,v,5.1
наезжать,v,5.1
населять,v,5.1
ничтожество,s,5.1
огорчиться,v,5.1
ограниченность,s,5.1
отослать,v,5.1
отслужить,v,5.1
оттянуть,v,5.1
оформляться,v,5.1
перебор,s,5.1
пересказать,v,5.1
перехват,s,5.1
пестренький,a,5.1
платежный,a,5.1
плюхнуться,v,5.1
погрозить,v,5.1
